acid,epoxide,tg,pca1,pca2,SA_aci,SA_epo
CCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCN(CCOCC1CO1)Cc1ccccc1COCC1CO1,248.3999,4.7796,2.0796,2.4428,3.2827
COCCCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)COCCCN(CC1CO1)CC1CO1,247.2579,5.1247,1.7736,2.4004,3.3558
COCCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,246.9785,4.5086,2.3889,2.4014,3.2941
CN(C)CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOc1cc(CN(CC2CO2)CC2CO2)ccc1OC,246.6468,3.8607,2.5508,2.5522,3.0730
COCCN(CCCOCC(=O)O)CCOCC(=O)O,COCc1cccc(OCCN(CCOCC2CO2)CCOCC2CO2)c1,249.4996,3.9075,1.8798,2.3867,3.2947
CC(C)OCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCCOCc1cccc(OCC2CO2)c1OCC1CO1,246.4979,2.2802,0.7027,2.5968,3.2185
CCCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)CCOCCCN(CC1CO1)CC1CO1,249.8306,3.8322,2.4485,2.3364,3.3166
COCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOCCCN(CC1CO1)CC1CO1,245.9650,3.7020,2.8905,2.3867,3.3002
CCCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,245.9557,3.8763,1.0733,2.4511,3.2087
CCCCN(CCCOCC(=O)O)CCN(C)CCOCC(=O)O,CC(C)(COCCOCC1CO1)NCCOCc1ccc(OCC2CO2)cc1,250.2409,3.2230,1.7144,2.5164,3.4117
