tg_exp,tg_cal
438.0,365.5104566461954
403.0,366.0034815420406
220.0,268.7113679369783
401.0,370.2736738896869
390.0,385.8260102274861
376.5,419.5052179926946
219.5,243.08235141887343
277.0,293.46298296625304
289.0,330.19052718625187
250.5,255.699070242196
221.0,206.7707026128843
215.5,251.01984070438218
244.5,234.05858529463632
271.0,270.36304677510793
280.5,331.39726725731583
208.0,236.8825777754697
230.0,216.647702846428
253.0,222.60427691922763
311.0,199.4928718419651
313.0,294.90488456090986
380.5,322.1193273488259
390.5,350.3546317802667
202.0,203.43217087254206
230.0,229.41627888226236
215.0,226.70449427582093
236.5,272.982012349751
223.0,216.8163115637288
381.5,399.426363586327
196.0,218.1930300714703
225.0,220.45737028119038
218.0,227.84800483848008
200.5,250.62149675050895
302.0,293.9737085711713
323.0,330.917387249894
268.0,300.3134835050107
232.0,232.81350029123956
225.5,228.2542899718451
248.5,264.11016781119616
230.5,259.91331349994107
337.0,441.15800243904084
384.0,343.72819517915514
330.0,359.5943278909007
324.0,352.2690211650024
315.0,330.1333382754294
330.0,305.68941773147753
313.0,293.20066437997
353.0,314.8447491548779
324.0,345.7493138942406
332.0,309.4744934095304
323.0,354.53523321413195
319.0,324.8050750789367
323.0,295.90297306156833
320.0,301.71837531678386
316.0,361.1533607961688
265.0,228.85979107573257
171.0,167.42616189425115
178.0,169.6740099104045
197.0,191.8832650128738
204.0,214.58615410345575
373.0,440.35428467851125
284.0,408.8891029502097
268.0,249.08536519893696
434.5,421.4636054406995
422.0,408.5859969679576
374.0,406.98164203835483
359.0,303.41513701414505
322.0,304.4733623062271
372.0,417.8511622660328
353.0,344.0782714359526
410.0,348.16718599049267
386.0,386.3751465967518
376.0,353.72269903235826
462.0,466.7139562403287
472.0,480.98682605002114
297.0,288.46745215626055
214.0,235.24860583350426
238.0,232.5783545483654
313.0,323.0893549002394
244.0,221.36062356327295
269.5,290.1778546581677
207.0,210.41934641288356
364.0,367.3365400879105
324.0,359.3592211338539
394.5,393.38135102848685
297.0,283.6444237348226
344.5,397.2766107319958
213.0,209.10700581998296
220.0,230.77896974378362
276.0,242.16686304284767
221.0,272.08352266719885
332.0,333.59260120326815
232.0,228.12466120754695
326.0,317.70862307691823
214.5,247.05068456305136
194.0,202.25765309471376
215.5,176.1199196933064
204.0,188.45054966566266
211.0,231.54456788284944
188.5,203.39788022440223
209.0,194.51278308423713
189.0,207.65095423960653
205.5,195.21527864641774
189.5,191.50737025495928
196.0,178.82217269558103
431.0,450.7447914595265
437.0,463.067442719094
420.0,437.2242049548953
291.0,230.17284084615375
312.0,244.75538448320955
259.0,276.93702740341996
367.5,315.5511382253194
349.0,320.64449460682306
373.0,493.7919418455782
306.0,341.5473255216832
285.0,248.11071011286407
255.0,233.5639111777207
487.0,408.5463044500904
433.0,449.41905575509463
293.5,246.38375147795122
369.5,362.04924359185964
211.0,276.13279006219557
218.0,248.0860943497176
331.0,308.2054268831166
267.0,243.22019930035611
326.5,396.0307168835009
341.5,393.6172612387362
363.0,348.57255424293714
312.0,209.3316749082527
240.5,272.565419459689
314.0,311.77726077505565
388.0,394.52401565147716
313.5,321.4791291672628
331.5,325.69666526874005
403.0,429.5434225744045
385.5,443.9228086522585
348.0,388.471432441079
427.0,421.1290399273242
409.0,391.89191634941386
370.0,398.01882728835403
377.0,403.00839457822195
373.0,396.21113837423957
402.0,426.6277826568644
353.0,317.78498137559666
482.5,479.78851242697823
495.0,443.5377557866941
355.5,348.2273946187411
452.0,448.9941093850018
334.0,360.43757285148337
351.5,419.8067613918143
304.0,343.1099847481538
344.0,374.5901034841364
305.5,347.8224666867319
283.0,289.4045110609961
301.0,278.833764298356
323.0,380.48860073232913
430.5,549.382057469392
192.0,221.11480956454167
194.0,228.93595922689425
196.0,200.73373955887928
197.0,204.42215270380802
197.0,187.24718630182457
203.0,179.10527983059865
203.0,209.69050867521318
205.0,201.34959092364824
207.0,236.82751423217312
207.0,191.53754518863104
209.0,197.75181694903932
213.0,245.46263197762227
213.0,224.23254109861435
213.0,206.20160224441332
215.0,242.48800362430296
217.0,234.0504137323527
220.0,229.65346866237888
221.0,222.02164077973714
228.0,209.05406486389262
228.0,251.44270751037573
233.0,231.91655630580703
235.0,256.6716398529556
239.0,219.80680499844644
243.0,205.72058941337028
251.0,246.22264215828324
257.0,208.4941582719247
259.0,219.0045589312881
278.0,285.7620093907762
278.0,264.3586305004907
279.0,304.55713031737275
284.0,234.9813910502418
286.0,225.9808202268896
293.0,257.02043384627905
293.0,252.70271125297876
295.0,265.92272362670786
298.0,301.39872775510355
306.0,430.9065527253598
310.0,298.4117492913472
313.0,256.863118644014
313.0,333.16228143872036
315.0,323.17312579144334
315.0,281.90074823556427
316.0,322.2051429095947
318.0,374.7000512474532
318.0,388.25573432801514
319.0,316.69202824717394
319.0,258.6759754955966
320.0,327.26410841523483
324.0,314.64653014196097
324.0,317.6416976159094
328.0,322.39779492575394
329.0,364.87836079143017
330.0,316.2413940988622
330.0,319.358318265664
330.0,314.2028531261165
333.0,282.96365202619484
333.0,323.3007184256572
333.0,306.1437352319569
337.0,384.19987853460884
343.0,338.6938297759472
344.0,410.66126565873606
345.0,328.6527593934575
348.0,368.605133367336
348.0,328.2304326087461
350.0,326.90471212054683
355.0,281.524096512793
358.0,430.9681165464374
359.0,290.5463281423572
359.0,338.74342107875395
360.0,427.0661621145446
360.0,416.5489164729817
362.0,322.0532484758722
363.0,366.42781967211295
363.0,364.3221862694551
363.0,367.6168375063302
368.0,379.46625550725
373.0,399.0151957113904
373.0,371.8237212659856
376.0,398.9899236714536
377.0,386.00408084245015
377.0,455.06737475027853
384.0,342.75164446879273
384.0,410.3613211947099
385.0,391.03609831010016
386.0,401.00166460783277
388.0,342.9903431294951
392.0,474.81378936680943
394.0,387.36481343775364
396.0,382.8567432570606
398.0,349.4865431510155
401.0,445.9402781575962
403.0,379.38962110501336
403.0,414.64970977890476
407.0,411.55180661358094
410.0,429.46947005697785
411.0,443.7535986973231
411.0,372.53301926302635
413.0,438.6828768621223
415.0,410.9605948651817
416.0,394.475099083249
420.0,375.700552069177
420.0,403.1597926869521
421.0,456.86192336305567
422.0,433.571548355636
423.0,337.84857588002745
423.0,397.418422658591
424.0,325.90170408112044
432.0,345.5236047701619
433.0,421.2072966332872
440.0,431.1033582274207
444.0,435.61909582539056
444.0,429.34110757300675
449.0,416.72403585269427
473.0,424.11660641441836
478.0,405.7109819055746
494.0,487.21863665585977
500.0,518.0005565579168
505.0,489.4695299675144
512.0,458.1479346536935
513.0,545.2304640026051
520.0,514.4426335441825
520.0,543.671634503879
539.0,542.9686096909613
541.0,593.7442999955732
543.0,501.1496493170815
545.0,520.2648156295992
546.0,579.0685255857127
550.0,526.9353345318665
573.0,550.2559337596874
578.0,552.9058408863458
578.0,516.7052197592203
579.0,531.8378949223807
581.0,595.4315569016562
591.0,579.4489050377222
599.0,525.280642819009
600.0,590.6618192302903
317.0,334.7490274968827
304.0,294.38520808489
323.0,321.2032837878523
