tg_exp,tg_cal
438.0000,372.4955
403.0000,372.0871
220.0000,235.6953
401.0000,382.7659
390.0000,363.0617
376.5000,409.9510
219.5000,256.5531
277.0000,303.0866
289.0000,349.4112
250.5000,324.2900
221.0000,233.4028
215.5000,245.2255
244.5000,284.7238
271.0000,309.1890
280.5000,379.8405
208.0000,225.8079
230.0000,259.5804
253.0000,252.8213
311.0000,217.9804
313.0000,358.9557
380.5000,317.2429
390.5000,357.7896
202.0000,250.4604
230.0000,261.1321
215.0000,266.3402
236.5000,291.3455
223.0000,232.8920
381.5000,386.5866
196.0000,229.5688
225.0000,224.0240
218.0000,227.3006
200.5000,302.1299
302.0000,304.1405
323.0000,353.6201
268.0000,343.2089
232.0000,228.9791
225.5000,240.3838
248.5000,292.9164
230.5000,273.2156
337.0000,458.8814
384.0000,320.9401
330.0000,311.4135
324.0000,300.9463
315.0000,284.6476
330.0000,271.0369
313.0000,259.6758
353.0000,283.8313
324.0000,293.4197
332.0000,265.2304
323.0000,294.8063
319.0000,273.7803
323.0000,254.4534
320.0000,350.6453
316.0000,383.7618
265.0000,244.7787
171.0000,194.4499
178.0000,179.2681
197.0000,215.0583
204.0000,232.4904
373.0000,486.8613
284.0000,459.3911
268.0000,324.6888
434.5000,423.0103
422.0000,406.0054
374.0000,343.2826
359.0000,261.1127
322.0000,249.2816
372.0000,381.5128
353.0000,327.3533
410.0000,307.1441
386.0000,304.3701
376.0000,282.6101
462.0000,444.6209
472.0000,444.9379
297.0000,336.2140
214.0000,257.2220
238.0000,283.4692
313.0000,357.7019
244.0000,247.0052
269.5000,321.2595
207.0000,247.8641
364.0000,402.8892
324.0000,402.8711
394.5000,401.2932
297.0000,351.4120
344.5000,430.8537
213.0000,237.2625
220.0000,264.7294
276.0000,310.3450
221.0000,300.8017
332.0000,394.7839
232.0000,280.8425
326.0000,361.5271
214.5000,288.8387
194.0000,235.7231
215.5000,225.4724
204.0000,214.3269
211.0000,269.2405
188.5000,223.4236
209.0000,234.1024
189.0000,232.0396
205.5000,252.1912
189.5000,219.4844
196.0000,215.2203
431.0000,441.4867
437.0000,437.3725
420.0000,436.0732
291.0000,252.1754
312.0000,281.9279
259.0000,298.3247
367.5000,359.7607
349.0000,377.7379
373.0000,505.2533
306.0000,367.6358
285.0000,272.2878
255.0000,256.5580
487.0000,436.8329
433.0000,454.3128
293.5000,274.5094
369.5000,409.7341
211.0000,258.5675
218.0000,240.6082
331.0000,379.8483
267.0000,246.5598
326.5000,429.2916
341.5000,429.8141
363.0000,419.6727
312.0000,229.7774
240.5000,260.8628
314.0000,329.4203
388.0000,403.7763
313.5000,350.0446
331.5000,367.4540
403.0000,451.3331
385.5000,474.3695
348.0000,372.4605
427.0000,417.5906
409.0000,380.1521
370.0000,376.6197
377.0000,384.8079
373.0000,360.9806
402.0000,409.3147
353.0000,296.4587
482.5000,474.3964
495.0000,411.2154
355.5000,359.4766
452.0000,408.9157
334.0000,360.1003
351.5000,408.4651
304.0000,379.8071
344.0000,386.6116
305.5000,370.7081
283.0000,344.5062
301.0000,316.2792
323.0000,371.7833
430.5000,507.2307
192.0000,232.6554
194.0000,237.2639
196.0000,226.1757
197.0000,230.9093
197.0000,214.5219
203.0000,220.6540
203.0000,221.3768
205.0000,249.7134
207.0000,249.2585
207.0000,233.5228
209.0000,226.9412
213.0000,265.3726
213.0000,224.2740
213.0000,241.1991
215.0000,230.7621
217.0000,256.5833
220.0000,275.0939
221.0000,244.5785
228.0000,224.7418
228.0000,267.7409
233.0000,275.3082
235.0000,261.1494
239.0000,223.3681
243.0000,246.6796
251.0000,291.3457
257.0000,257.0745
259.0000,236.1499
278.0000,242.9068
278.0000,310.5848
279.0000,280.9173
284.0000,300.8740
286.0000,225.1961
293.0000,287.3549
293.0000,309.0402
295.0000,253.5932
298.0000,304.8492
306.0000,469.1659
310.0000,257.2451
313.0000,263.9516
313.0000,279.0998
315.0000,275.7164
315.0000,283.4955
316.0000,275.1453
318.0000,404.8906
318.0000,396.9178
319.0000,271.2812
319.0000,275.5759
320.0000,289.5511
324.0000,270.6940
324.0000,272.8542
328.0000,324.4460
329.0000,369.8703
330.0000,287.3921
330.0000,279.3226
330.0000,279.8225
333.0000,295.7643
333.0000,305.1385
333.0000,301.1003
337.0000,422.5662
343.0000,303.4264
344.0000,453.2588
345.0000,344.5854
348.0000,342.0466
348.0000,335.3319
350.0000,319.3758
355.0000,345.1602
358.0000,399.9465
359.0000,285.6819
359.0000,317.9439
360.0000,413.2071
360.0000,378.5655
362.0000,319.5470
363.0000,364.0967
363.0000,333.5922
363.0000,319.2391
368.0000,402.5944
373.0000,390.2347
373.0000,341.7726
376.0000,381.9017
377.0000,377.6585
377.0000,407.4489
384.0000,332.2485
384.0000,393.3120
385.0000,384.6025
386.0000,403.0830
388.0000,298.6700
392.0000,462.7722
394.0000,398.3642
396.0000,367.8320
398.0000,323.0080
401.0000,418.9501
403.0000,342.1158
403.0000,389.9781
407.0000,404.4202
410.0000,417.2417
411.0000,445.5770
411.0000,335.3579
413.0000,388.7255
415.0000,389.8836
416.0000,397.1470
420.0000,357.0032
420.0000,416.8887
421.0000,428.0097
422.0000,407.6704
423.0000,330.7255
423.0000,392.7900
424.0000,290.7462
432.0000,323.4550
433.0000,394.7852
440.0000,384.4207
444.0000,428.5788
444.0000,379.4477
449.0000,390.4921
473.0000,428.7917
478.0000,394.2583
494.0000,475.8515
500.0000,491.7073
505.0000,447.6045
512.0000,455.8334
513.0000,501.6139
520.0000,459.4048
520.0000,499.9706
539.0000,430.4824
541.0000,493.2221
543.0000,438.9996
545.0000,474.4160
546.0000,511.9588
550.0000,464.1701
573.0000,434.8013
578.0000,479.5467
578.0000,406.7305
579.0000,414.4285
581.0000,463.2308
591.0000,457.8272
599.0000,451.1426
600.0000,524.8678
317.0000,330.1485
304.0000,311.1420
323.0000,316.4338
