acid,epoxide,tg
COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,372.3849973999249
CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,354.9298264465297
O=C(O)CCC(CCC(=O)O)C(=O)NCC(=O)Nc1cccc2ccccc12,COC(=O)c1cccc(C=CC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)c1,403.9191105427085
Cn1ccc(CCNC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)n1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccc(O)n1,406.2672009116555
CN(C)c1cccnc1C(=O)N(CCC(=O)O)CCC(=O)O,O=C(Cc1ccc(OCC2CO2)cc1)N1CCN(CCC2CO2)CC1,378.77590860743356
COc1ccccc1N(CCO)CC(=O)N(CCC(=O)O)CCC(=O)O,COc1cccc(CN(C)C(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)c1,344.13248797217256
O=C(O)CCN1CCCN(C(=O)CC2(CC(=O)O)CCCCC2)CC1,Cc1cc(OCC2CO2)ccc1NC(=O)c1ccccc1OCC1CO1,405.8221961656635
Nc1c(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)cnn1Cc1ccccc1,Cc1ccc(C(=O)NCCC(=O)NCCCc2ccc(OCC3CO3)cc2)c(OCC2CO2)c1,374.9778650875723
Cc1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)on1,C(CCN1CCN(CCCCC2CO2)CC1)CC1CO1,308.819368859927
CC(Cc1ccc(NC(=O)NC2CCC(C(=O)O)CC2)cc1)C(=O)O,CCCN(CCOCC1CO1)Cc1ccc(COCC2CO2)cc1,356.4281185295467
