acid,epoxide,pca1,pca2,dist,tg
CN(CCCN(C)CCOCC(=O)O)CCOCC(=O)O,COCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,3.3238,2.4208,0.0000,248.0500
CN(CCCN(C)CCOCC(=O)O)CCOCC(=O)O,COCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,3.0374,2.2537,0.7278,259.4945
CN(CCCOCC(=O)O)CCOCC(=O)O,COCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,1.8919,1.5849,3.6390,298.7782
CN(CCCOCC(=O)O)CCOCC(=O)O,COc1cccc(CN(CCCOCC2CO2)Cc2ccc(COCC3CO3)cc2)c1,1.6056,1.4178,4.3668,308.5991
CN(CCC(=O)O)c1ccc(COCC(=O)O)cc1,COc1cccc(CN(CCCOCC2CO2)Cc2ccc(COCC3CO3)cc2)c1,1.3192,1.2506,5.0946,318.4200
CN(CCC(=O)O)c1ccc(COCC(=O)O)cc1,COc1cc(CN(CCCOCC2CO2)Cc2ccc(C)cc2)ccc1OCC1CO1,1.0328,1.0834,5.8224,328.2410
CN(CCC(=O)O)c1ccc(C(=O)O)cc1C=CC(=O)OCc1ccccc1,COc1cc(CN(CCCOCC2CO2)Cc2ccc(C)cc2)ccc1OCC1CO1,0.7465,0.9162,6.5502,338.0619
CN(CCC(=O)O)c1ccc(C(=O)O)c2c1OCO2,COc1cc(CNC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)ccc1OCCC(=O)N(C)C,0.4601,0.7491,7.2780,347.8828
CN(CC(=O)N(CCC(=O)O)CCc1ccco1)Cc1ccc(C(=O)O)cc1O,COc1cc(CNC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)ccc1OCCC(=O)N(C)C,0.1737,0.5819,8.0058,357.7037
O=C(O)Cc1ccc(C(=O)O)cc1NC(=O)OCc1ccco1,Cc1ccc(NC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)cc1C,-0.1126,0.4147,8.7336,367.5247
O=C(Nc1cc(C(=O)O)ccc1C(=O)O)OCc1ccco1,Cc1ccc(NC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)cc1C,-0.3990,0.2475,9.4614,377.3456
O=C(Nc1cc(C(=O)O)ccc1C(=O)O)OCc1ccco1,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,-0.6854,0.0804,10.1892,387.1665
O=C(O)c1ccc(C(=O)O)c2c1OCO2,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,-0.9717,-0.0868,10.9170,396.9874
O=C(O)c1ccc(C(=O)O)c2c1C(=O)CCC2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,-1.2581,-0.2540,11.6448,406.8083
O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,-1.5445,-0.4212,12.3726,416.6293
O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1ccc(C(=O)Nc2ccc(OCC3CO3)c(C)c2)c(OCC2CO2)c1,-2.4036,-0.9227,14.5561,446.0920
O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,-2.6899,-1.0899,15.2839,500.8071
