acid,epoxide,pca1,pca2,dist,tg
CN(CCCN(C)CCOCC(=O)O)CCOCC(=O)O,COCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,3.3238,2.4208,0.0000,248.0500
CN(CCCN(C)CCOCC(=O)O)CCOCC(=O)O,COCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,3.1539,2.3713,0.8685,254.6483
CN(CCCOCC(=O)O)CCOCC(=O)O,COCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,2.5019,2.1156,3.4586,274.8681
CN(CCCOCC(=O)O)CCOCC(=O)O,COc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,2.2427,1.9968,4.3092,283.2000
CN(CCC(=O)O)Cc1ccc(OCC(=O)O)cc1,COc1cccc(CN(CCCOCC2CO2)Cc2ccc(COCC3CO3)cc2)c1,1.9658,1.8626,5.1497,292.2255
CN(CCC(=O)O)c1ccc(COCC(=O)O)c(C#N)c1,COc1cc(CN(CCCOCC2CO2)Cc2ccc(C)cc2)ccc1OCC1CO1,1.6733,1.7141,5.9780,301.8752
Cc1cc(C=CCOCC(=O)O)ccc1N(C)CCC(=O)O,COc1cc(CN(CCCOCC2CO2)Cc2ccc(C)cc2)ccc1OCC1CO1,1.3675,1.5524,6.7920,312.0746
CN(CCC(=O)O)Cc1ccc(C(=O)O)cc1O,COc1cc(CN(CCCOCC2CO2)Cc2ccc(C)cc2)ccc1OCC1CO1,0.7254,1.1945,8.3687,333.8040
O=C(O)c1ccc(C(=O)O)c2c1C(=O)CCC2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,-0.6103,0.3810,11.2667,380.1892
O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,-1.2627,-0.0496,12.5629,403.4163
O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1ccc(C(=O)Nc2ccc(OCC3CO3)c(C)c2)c(OCC2CO2)c1,-2.4370,-0.8925,14.8023,446.3847
O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,-2.6899,-1.0899,15.2839,500.8071
