epoch,recon,valid,novel,unique,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test
1,0.7240,0.7520,1.0000,1.0000,-6.3431,-6.5648,71.1286,71.7969,89.0897,90.1421
2,0.7940,0.7900,1.0000,1.0000,-4.8378,-5.1489,63.2801,64.4238,79.4347,81.2695
3,0.7980,0.8230,1.0000,1.0000,-5.3127,-5.9722,66.0079,68.7336,82.6029,86.5397
4,0.7990,0.8480,1.0000,1.0000,-4.3087,-4.7977,60.2411,61.9871,75.7498,78.9148
5,0.8170,0.8060,1.0000,1.0000,-4.1528,-4.4063,59.2051,59.8572,74.6295,76.2045
6,0.8270,0.8280,1.0000,1.0000,-4.0499,-4.4603,58.8148,60.6795,73.8800,76.5840
7,0.8460,0.7970,1.0000,0.9980,-3.7168,-4.2587,56.5958,59.2572,71.4025,75.1568
8,0.8290,0.8670,1.0000,0.9990,-3.5847,-4.1197,55.8668,58.5269,70.3952,74.1573
9,0.7980,0.8370,1.0000,1.0000,-3.8911,-4.4722,57.8017,60.0329,72.7093,76.6674
10,0.8180,0.8280,1.0000,1.0000,-3.8650,-4.4275,57.7073,60.4826,72.5155,76.3533
