acid,epoxide,pca1,pca2,dist,tg
O=C(O)CCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.6198,-0.9967,0.0000,348.4995
O=C(O)CCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)N1Cc2ccc(OCC3CO3)cc2C1,2.4507,-1.5840,2.1898,348.3919
O=C(O)CCCCC(=O)O,CC(C)(c1ccccc1)c1ccc(OCCc2ccc(OCC3CO3)cc2)c(CC2CO2)c1,3.0947,0.6127,3.1925,338.3878
O=C(O)CCCCC(=O)O,CCc1ccc(C(C)(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,2.6304,-0.9638,3.2046,351.5105
O=C(O)CCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(Oc2ccc(OCC3CO3)cc2)cc1,1.9812,-2.7278,3.4303,365.3444
O=C(O)CCCCC(=O)O,CC(C)c1ccc(C(=O)N2CC=C(c3ccc(OCC4CO4)cc3)CC2)c(OCC2CO2)c1,2.3485,-1.2354,3.5442,364.9457
O=C(O)CCCCC(=O)O,CCc1ccc(OCC2CO2)c(C(=O)c2ccc(OCC3CO3)cc2)c1,2.7748,-1.0252,3.7608,343.5363
O=C(O)CCCCC(=O)O,CC(C)c1ccc(C=NNCc2ccc(OCC3CO3)cc2)c(OCC2CO2)c1,2.8129,-0.2916,3.9968,348.3544
O=C(O)CCCCC(=O)O,CC(C)(NC(c1ccccc1)c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.3133,-2.1602,4.1818,352.6822
O=C(O)CCCCC(=O)O,CC(C)c1ccc(C(=O)Cc2ccc(OCC3CO3)cc2)c(OCC2CO2)c1,2.8381,-0.1211,4.4120,351.9480
O=C(O)CCCCC(=O)O,Cc1ccc(C2=C(C3CO3)CCCC2)c(OCC2CO2)c1,2.6486,-0.6904,4.4639,343.3328
O=C(O)CCCCC(=O)O,Cc1ccc(COCC2CO2)c(COCC2CO2)c1,2.6967,-0.5851,4.5921,332.4739
O=C(O)CCCCC(=O)O,CC(C)c1ccc(Cc2ccccc2)cc1NC(=O)C(CC1CO1)CC1CO1,3.1077,0.5317,5.0472,327.4956
