acid,epoxide
COCCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC(C)C,CC(C)Oc1cccc(CN(C)C(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1
O=C(O)CCN(CCC(=O)O)Cc1ccc2c(c1)COC2,O=C(COCc1ccccn1)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1
Cc1ccc(OCCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(OCc1nc(Cc2ccccc2)no1)c1ccc(OCC2CO2)cc1OCC1CO1
CC(COCC(=O)O)(COCC(=O)O)NC(=O)c1ccc(NC(=O)c2ccccc2)cc1,CC(C)CCOc1ccc(NC(=O)C(=O)N(CC2CO2)CC2CO2)cc1
CC(=O)N(Cc1ccc(NC(=O)N(CCC(=O)O)CCC(=O)O)cc1)C(C)C,O=C(Nc1ccccc1C(=O)N1CCOCC1)C(=O)N(CC1CO1)CC1CO1
CCC(O)(CC)CNC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(NC(=O)c2cccc(OCC3CO3)c2)c(OCC2CO2)c1
CCOC(=O)Oc1ccc(C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,C(CCOCCOCC1CO1)COCCOCC1CO1
COc1cccc(CN(CCC(=O)O)CCC(=O)O)c1OC(C)C,O=C(Nc1ccc(COCC2CO2)c(COCC2CO2)c1)c1ccccc1OCC1CC1
O=C(O)CCCOCC(=O)NCCCCCCNCC(=O)NCCC(=O)O,CC1(C)CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1
O=C(O)c1ccc(NC(=O)C2CC(C(=O)O)C2)cc1,O=C(Nc1cccnc1)c1ccc(CNC(=O)c2c(OCC3CO3)cccc2OCC2CO2)cc1
